Frequency (Hz),Trace Vrms (V),Input imp
53538.27497,0.312701733,3052.730619
55879.45514,0.308820424,3091.097872
58323.013,0.30506807,3129.118545
60873.42543,0.300769502,3173.839595
63535.36508,0.295789237,3227.278189
66313.70893,0.290869105,3281.868501
69213.54724,0.285967944,3338.115954
72240.19284,0.281055296,3396.463853
75399.19092,0.274938845,3472.023584
78696.3291,0.268745132,3552.042596
82137.64815,0.262917342,3630.776682
85729.45296,0.258377025,3694.57832
89478.32414,0.253032573,3772.613717
93391.13004,0.247123906,3862.815901
97475.0394,0.23911298,3992.230593
101737.5344,0.231701263,4119.93505
106186.4245,0.224935743,4243.852666
110829.8604,0.221727725,4305.253908
115676.3496,0.220823941,4322.874371
120734.7714,0.220852889,4322.307746
126014.3934,0.221105916,4317.361426
131524.8885,0.220453698,4330.134469
137276.3525,0.220267267,4333.799413
143279.3228,0.220242581,4334.285187
149544.7975,0.220106431,4336.966223
156084.2558,0.219939434,4340.259214
162909.6787,0.219146116,4355.971123
170033.5711,0.219425228,4350.430273
177468.9848,0.219318704,4352.543297
185229.5424,0.219291664,4353.079994
193329.4622,0.219615652,4346.658113
201783.5841,0.219204849,4354.804002
210607.3971,0.219229424,4354.315847
219817.0675,0.21954802,4347.997092
229429.4684,0.219905426,4340.930417
239462.2108,0.220438549,4330.432031
249933.6759,0.219989094,4339.27944
260863.0488,0.220960367,4320.205335
272270.3531,0.221416295,4311.309407
284176.4886,0.221954338,4300.858287
296603.2685,0.222464465,4290.996108
309573.4602,0.223172915,4277.374576
323110.8267,0.224018681,4261.225675
337240.1699,0.224419954,4253.606403
351987.3765,0.225110681,4240.554701
367379.465,0.225781808,4227.949818
383444.6356,0.2266849,4211.106046
400212.3215,0.227647606,4193.297575
417713.2431,0.228639884,4175.099007
435979.4641,0.229499076,4159.468395
455044.4504,0.230728231,4137.309724
474943.1313,0.231958368,4115.368472
495711.9633,0.233650451,4085.565205
517388.9976,0.234401732,4072.470573
540013.9489,0.235133792,4059.791441
563628.2688,0.236344572,4038.993347
588275.2215,0.237479319,4019.693835
613999.963,0.238703547,3999.07822
640849.6241,0.240039448,3976.821985
668873.3966,0.241173089,3958.128817
698122.6232,0.242189867,3941.511538
728650.8919,0.243499049,3920.319854
760514.1341,0.245039791,3895.669961
793770.727,0.246360187,3874.790673
828481.6005,0.247696624,3853.884392
864710.349,0.249063084,3832.740444
902523.3478,0.250376957,3812.627825
941989.8747,0.252054304,3787.255922
983182.237,0.25406043,3757.350773
1026175.904,0.25476528,3746.955445
1071049.645,0.25647653,3721.955198
1117885.674,0.257914525,3701.203544
1166769.8,0.25938834,3680.173729
1217791.584,0.260958278,3658.033622
1271044.505,0.262454826,3637.17509
1326626.128,0.26401202,3615.722329
1384638.284,0.265540172,3594.914273
1445187.26,0.267220778,3572.305121
1508383.987,0.268408902,3556.492151
1574344.25,0.270033185,3535.099416
1643188.895,0.271399775,3517.298984
1715044.054,0.272926414,3497.624658
1790041.374,0.27412929,3482.277119
1868318.259,0.275425838,3465.884537
1950018.121,0.276375166,3453.979485
2035290.643,0.277458147,3440.497843
2124292.056,0.278354461,3429.419278
2217185.42,0.278884192,3422.905215
2314140.926,0.279538352,3414.895123
2415336.208,0.279782539,3411.914684
2520956.669,0.279911392,3410.344065
2631195.816,0.279642338,3413.625283
2746255.621,0.279417276,3416.374855
2866346.887,0.278826775,3423.610074
2991689.635,0.278274184,3430.408606
3122513.507,0.277477018,3440.263855
3259058.189,0.276349459,3454.300785
3401573.846,0.275320695,3467.208136
3550321.583,0.274017323,3483.700028
3705573.924,0.272588718,3501.957683
3867615.308,0.270971277,3522.861046
4036742.616,0.268919102,3549.744696
4213265.707,0.266859448,3577.14206
4397507.992,0.264517018,3608.819426
4589807.026,0.262303987,3639.266664
4790515.121,0.259794277,3674.423333
5000000,0.257156623,3712.111877
