Frequency (Hz),Trace Vrms (V),Input inp
137276.3525,0.190993753,4998.038637
143279.3228,0.190868831,5001.309793
149544.7975,0.19092877,4999.739725
156084.2558,0.19093615,4999.546461
162909.6787,0.190869327,5001.296803
170033.5711,0.190904966,5000.363128
177468.9848,0.191326957,4989.334326
185229.5424,0.190830756,5002.30767
193329.4622,0.190913577,5000.137596
201783.5841,0.190771128,5003.8712
210607.3971,0.190859737,5001.5481
219817.0675,0.190678668,5006.297571
229429.4684,0.190939562,4999.457141
239462.2108,0.191098218,4995.306412
249933.6759,0.19092397,4999.865417
260863.0488,0.191025718,4997.202276
272270.3531,0.191077739,4995.841786
284176.4886,0.19109886,4995.289636
296603.2685,0.191214931,4992.257398
309573.4602,0.191370724,4988.193247
323110.8267,0.191551616,4983.482643
337240.1699,0.191652694,4980.85434
351987.3765,0.191753265,4978.241989
367379.465,0.191945895,4973.24601
383444.6356,0.192239533,4965.649569
400212.3215,0.192421721,4960.948019
417713.2431,0.192720597,4953.254456
435979.4641,0.192900548,4948.633709
455044.4504,0.19328814,4938.710439
474943.1313,0.193455188,4934.445879
495711.9633,0.19438181,4910.923265
517388.9976,0.194110162,4917.795875
540013.9489,0.194663889,4903.807078
563628.2688,0.194988534,4895.642512
588275.2215,0.195543143,4881.757235
613999.963,0.195945101,4871.742902
640849.6241,0.196543654,4856.906521
668873.3966,0.197173886,4841.382261
698122.6232,0.197646673,4829.801277
728650.8919,0.198393443,4811.621496
760514.1341,0.199032314,4796.176727
793770.727,0.199769901,4778.468381
828481.6005,0.200479535,4761.554115
864710.349,0.201559799,4736.034472
902523.3478,0.20240557,4716.244492
941989.8747,0.203341024,4694.54778
983182.237,0.204439151,4669.331443
1026175.904,0.20555024,4644.091653
1071049.645,0.206631628,4619.787212
1117885.674,0.207915105,4591.268898
1166769.8,0.209249228,4561.996071
1217791.584,0.210540791,4534.010484
1271044.505,0.211956053,4503.736227
1326626.128,0.21351938,4470.76118
1384638.284,0.215169005,4436.485432
1445187.26,0.216791089,4403.290553
1508383.987,0.218706785,4364.721263
1574344.25,0.22025981,4333.946138
1643188.895,0.222194734,4296.205119
1715044.054,0.224058305,4260.47209
1790041.374,0.226026661,4223.369706
1868318.259,0.228038738,4186.105229
1950018.121,0.229976133,4150.840098
2035290.643,0.232041919,4113.886664
2124292.056,0.234173993,4076.43113
2217185.42,0.236346765,4038.955877
2314140.926,0.238346125,4005.075198
2415336.208,0.240303798,3972.447228
2520956.669,0.242299879,3939.72196
2631195.816,0.244190278,3909.222603
2746255.621,0.246049781,3879.678937
2866346.887,0.247737714,3853.24519
2991689.635,0.249108456,3832.04236
3122513.507,0.250449626,3811.521574
3259058.189,0.251742346,3791.949068
3401573.846,0.25269614,3777.636468
3550321.583,0.253312482,3768.444992
3705573.924,0.253701241,3762.670423
3867615.308,0.253810402,3761.052133
4036742.616,0.253704944,3762.615493
4213265.707,0.253182349,3770.381936
4397507.992,0.252158953,3785.684167
4589807.026,0.251072177,3802.070652
4790515.121,0.249466917,3826.536057
5000000,0.247586089,3855.604966
